"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006405","RNA export from nucleus","24/2383","98/18860",0.244897959183673,1.93821884607809,3.54127705100982,0.000948809681605186,0.017301313127075,0.0148807218036089,"AKAP8L/TPR/NUP85/CPSF6/METTL3/ALYREF/RAE1/SRSF3/SARNP/ENY2/KHDRBS1/DDX25/RAN/NCBP2/PHAX/THOC2/EIF4E/RBM33/FYTTD1/RANBP2/DHX9/WNK1/CHTOP/NUP133",24
"GO:0021954","central nervous system neuron development","24/2383","98/18860",0.244897959183673,1.93821884607809,3.54127705100982,0.000948809681605186,0.017301313127075,0.0148807218036089,"PAFAH1B1/TAOK1/NPY/LHX6/MAPT/HPRT1/RAPGEF2/NRP1/ARX/EPHA4/CDK5/CDH11/AGTPBP1/SEMA3E/UQCRQ/FOXG1/RAC1/MYCBP2/UBB/PTEN/NRP2/B4GALT6/NIN/ATF5",24
"GO:0051492","regulation of stress fiber assembly","24/2383","98/18860",0.244897959183673,1.93821884607809,3.54127705100982,0.000948809681605186,0.017301313127075,0.0148807218036089,"TMEFF2/MKKS/CDC42/PXN/STMN1/TAC1/PAK1/F11R/TPM1/CLASP2/NRP1/ABL1/LIMCH1/EPHA1/BAG4/FHOD3/RAC1/ASAP3/CCDC88A/PFN2/LIMK1/PPM1E/EVL/CD47",24
"GO:0110053","regulation of actin filament organization","53/2383","274/18860",0.193430656934307,1.53088635744063,3.36640343045348,0.000968018042389106,0.0175979207037363,0.0151358316210384,"TMEFF2/ACTN2/MKKS/DSTN/CDC42/CTTN/ARPC5L/PXN/CDC42EP5/STMN1/TAC1/PRKCE/PAK1/MYADM/F11R/WDR1/RICTOR/AP1AR/TPM1/CLASP2/C15orf62/NRP1/DLG1/MTPN/SPTAN1/TMOD1/TRIM27/CORO1A/CFL1/TMOD2/ABL1/LIMCH1/EPHA1/ARF1/RDX/BAG4/FHOD3/RAC1/C9orf72/ARFGEF1/ASAP3/CAPZB/RGS4/SPTBN1/LATS1/CCDC88A/PFN2/LIMK1/PPM1E/ARPC5/CCL21/EVL/CD47",53
"GO:0006695","cholesterol biosynthetic process","19/2383","71/18860",0.267605633802817,2.1179363212426,3.58902669114186,0.00100758568416469,0.0180972071381051,0.0155652639118471,"MAPK1/SQLE/ACLY/PRKAA1/MBTPS1/FDPS/HMGCR/TM7SF2/EBP/IDI1/CYB5R3/NSDHL/ARV1/ERLIN1/GPR146/CYP51A1/AKT1/FDFT1/DHCR7",19
"GO:1902653","secondary alcohol biosynthetic process","19/2383","71/18860",0.267605633802817,2.1179363212426,3.58902669114186,0.00100758568416469,0.0180972071381051,0.0155652639118471,"MAPK1/SQLE/ACLY/PRKAA1/MBTPS1/FDPS/HMGCR/TM7SF2/EBP/IDI1/CYB5R3/NSDHL/ARV1/ERLIN1/GPR146/CYP51A1/AKT1/FDFT1/DHCR7",19
"GO:1904262","negative regulation of TORC1 signaling","19/2383","71/18860",0.267605633802817,2.1179363212426,3.58902669114186,0.00100758568416469,0.0180972071381051,0.0155652639118471,"YWHAZ/CUL3/RBX1/UBE2N/BTRC/STAMBPL1/UBE3A/PRKAA1/TSC2/USP7/TBC1D7/PRKACB/CSNK1A1/SESN2/ITFG2/SESN1/STK11/AKT1/SRC",19
"GO:1904263","positive regulation of TORC1 signaling","19/2383","71/18860",0.267605633802817,2.1179363212426,3.58902669114186,0.00100758568416469,0.0180972071381051,0.0155652639118471,"CUL3/RBX1/STAMBPL1/UBE3A/RRAGA/PRKAA1/TSC2/PIH1D1/CSNK1A1/RRAGB/SESN2/FNIP1/LAMTOR2/LAMTOR3/OTUD5/SIK3/AKT1/SRC/RHEB",19
"GO:0050684","regulation of mRNA processing","31/2383","139/18860",0.223021582733813,1.76508059184209,3.44296291010514,0.00104273767865646,0.0186724971737853,0.0160600662956008,"PUF60/TRA2B/SRPK2/SAP18/CELF2/CCNB1/DHX36/CELF4/HNRNPK/SRSF3/SNW1/NCL/SAFB2/PRMT5/RBM25/KHDRBS1/NCBP2/UPF3A/WDR77/PTCD2/WTAP/C1QBP/CELF1/SRSF8/DHX9/RBM14/CIRBP/RBFOX2/STH/RBMXL1/TIA1",31
"GO:1990830","cellular response to leukemia inhibitory factor","26/2383","110/18860",0.236363636363636,1.87067485598749,3.48284373904704,0.00105004606736122,0.0187329331641681,0.016112046810213,"MCF2/EEF1E1/FZD4/CACNB4/MRPL15/SOCS3/PML/RPS16/SLC25A5/SRSF3/NFYB/MTF2/NCL/B3GNT2/ADAM23/PFKP/SSTR1/SNX10/ICAM1/TRIM2/NRP2/PIGA/CREB1/NEFH/XRCC5/UBXN2A",26
