"ENTREZID","SYMBOL"
"7328","UBE2H"
"7337","UBE3A"
"10477","UBE2E3"
"55585","UBE2Q1"
"51434","ANAPC7"
"51366","UBR5"
"25847","ANAPC13"
"8925","HERC1"
"55958","KLHL9"
"1161","ERCC8"
"9690","UBE3C"
"9039","UBA3"
"7189","TRAF6"
"64750","SMURF2"
"8916","HERC3"
"867","CBL"
"25898","RCHY1"
"119504","ANAPC16"
"389898","UBE2NL"
"7323","UBE2D3"
"3093","UBE2K"
"55070","DET1"
"8065","CUL5"
"27338","UBE2S"
"55294","FBXW7"
"10277","UBE4B"
"79444","BIRC7"
"8453","CUL2"
"4591","TRIM37"
"25814","ATXN10"
"10524","KAT5"
"10939","AFG3L2"
"2259","FGF14"
"6511","SLC1A6"
"6095","RORA"
"23265","EXOC7"
"51143","DYNC1LI1"
"1434","CSE1L"
"81873","ARPC5L"
"5058","PAK1"
"10627","MYL12A"
"10640","EXOC5"
"3840","KPNA4"
"26263","FBXO22"
"10006","ABI1"
"1778","DYNC1H1"
"55207","ARL8B"
"3839","KPNA3"
"1780","DYNC1I1"
"3326","HSP90AB1"
"10093","ARPC4"
"375","ARF1"
"10552","ARPC1A"
"388","RHOB"
"55770","EXOC2"
"6885","MAP3K7"
"64601","VPS16"
"63916","ELMO2"
"9266","CYTH2"
"302","ANXA2"
"5420","PODXL"
"8655","DYNLL1"
"7879","RAB7A"
"10097","ACTR2"
"10092","ARPC5"
"79659","DYNC2H1"
"6932","TCF7"
"140679","SLC32A1"
"2557","GABRA4"
"2562","GABRB3"
"3765","KCNJ9"
"222236","NAPEPLD"
"2566","GABRG2"
"10681","GNB5"
"57406","ABHD6"
"2775","GNAO1"
"22999","RIMS1"
"57030","SLC17A7"
"2785","GNG3"
"10533","ATG7"
"10241","CALCOCO2"
"23710","GABARAPL1"
"8417","STX7"
"10670","RRAGA"
"64419","MTMR14"
"10652","YKT6"
"3480","IGF1R"
"55014","STX17"
"11345","GABARAPL2"
"8897","MTMR3"
"23192","ATG4B"
"10325","RRAGB"
"55578","SUPT20H"
"9474","ATG5"
"5588","PRKCQ"
"54541","DDIT4"
"9140","ATG12"
"51100","SH3GLB1"
"5515","PPP2CA"
"6794","STK11"
"3146","HMGB1"
"2805","GOT1"
"9563","H6PD"
"4190","MDH1"
"2271","FH"
"4191","MDH2"
"1738","DLD"
"5213","PFKM"
"3419","IDH3A"
"5631","PRPS1"
"3420","IDH3B"
"1737","DLAT"
"8803","SUCLA2"
"5223","PGAM1"
"5096","PCCB"
"1892","ECHS1"
"226","ALDOA"
"83440","ADPGK"
"8802","SUCLG1"
"2821","GPI"
"1431","CS"
"7167","TPI1"
"2026","ENO2"
"5214","PFKP"
"84693","MCEE"
"5315","PKM"
"39","ACAT2"
"10873","ME3"
"50","ACO2"
"4199","ME1"
"3098","HK1"
"2098","ESD"
"4200","ME2"
"6888","TALDO1"
"47","ACLY"
"396","ARHGDIA"
"398","ARHGDIG"
"8766","RAB11A"
"4905","NSF"
"60682","SMAP1"
"9135","RABEP1"
"8027","STAM"
"273","AMPH"
"55737","VPS35"
"6456","SH3GL2"
"51699","VPS29"
"51652","CHMP3"
"51160","VPS28"
"51534","VTA1"
"26052","DNM3"
"84612","PARD6B"
"51510","CHMP5"
"378","ARF4"
"27243","CHMP2A"
"28964","GIT1"
"55680","RUFY2"
"30846","EHD2"
"51324","SPG21"
"6457","SH3GL3"
"80223","RAB11FIP1"
"11267","SNF8"
"377","ARF3"
"29934","SNX12"
"8723","SNX4"
"9829","DNAJC6"
"254122","SNX32"
"10617","STAMBP"
"10565","ARFGEF1"
"55616","ASAP3"
"6643","SNX2"
"832","CAPZB"
"128866","CHMP4B"
"2350","FOLR2"
"30844","EHD4"
"25813","SAMM50"
"10651","MTX2"
"51024","FIS1"
"51622","CCZ1"
"139341","FUNDC1"
"11331","PHB2"
"9804","TOMM20"
"4580","MTX1"
"6616","SNAP25"
"8775","NAPA"
"6505","SLC1A1"
"440279","UNC13C"
"50848","F11R"
"2067","ERCC1"
"1069","CETN2"
"902","CCNH"
"2965","GTF2H1"
"7507","XPA"
"54107","POLE3"
"5983","RFC3"
"6119","RPA3"
"56655","POLE4"
"6118","RPA2"
"2966","GTF2H2"
"5982","RFC2"
"5984","RFC4"
"1022","CDK7"
"55176","SEC61A2"
"785","CACNB4"
"444","ASPH"
"7168","TPM1"
"6546","SLC8A1"
"478","ATP1A3"
"7170","TPM3"
"481","ATP1B1"
"55799","CACNA2D3"
"783","CACNB2"
"3945","LDHB"
"3029","HAGH"
"2739","GLO1"
"98","ACYP2"
"127","ADH4"
"27248","ERLEC1"
"2923","PDIA3"
"55973","BCAP29"
"7993","UBXN8"
"10802","SEC24A"
"133022","TRAM1L1"
"80331","DNAJC5"
"7991","TUSC3"
"10294","DNAJA2"
"1650","DDOST"
"10905","MAN1A2"
"8720","MBTPS1"
"10483","SEC23B"
"9709","HERPUD1"
"10961","ERP29"
"9532","BAG2"
"7095","SEC62"
"573","BAG1"
"821","CANX"
"25956","SEC31B"
"10484","SEC23A"
"6400","SEL1L"
"54431","DNAJC10"
"9373","PLAA"
"55757","UGGT2"
"165324","UBXN2A"
"10782","ZNF274"
"9500","MAGED1"
"9261","MAPKAPK2"
"57498","KIDINS220"
"6464","SHC1"
"6272","SORT1"
"7531","YWHAE"
"10603","SH2B2"
"11213","IRAK3"
"5607","MAP2K5"
